descripcion,titular
El juez central brasileño será el encargado de pitar el duelo entre la Tricolor y Chile por la sexta fecha de las eliminatorias sudamericanas.,¿Cómo le fue a Ecuador en los partidos que dirigió el árbitro de Brasil Anderson Daronco?
"El actual entrenador de Colo Colo dijo que sería un ""orgullo"" asumir el mando del combinado araucano.","¿Cómo voy a decir que no me interesa dirigir a la selección chilena?: Gustavo Quinteros, extécnico de Emelec, y su deseo de llegar a la Roja"
El principal objetivo del evento es que la fanaticada del fútbol en general conozca a los jugadores que dejaron su huella en la historia del deporte.,"Patricio Urrutia, exseleccionado ecuatoriano, jugará un amistoso de leyendas organizado por la Conmebol"
"“Hay gente que está molesta con Chile, pero no por eso los vamos a tratar mal”. señala el exvolante con respecto a lo acontecido con el futbolista.","‘Hay que aceptar el error, Chile peleó por algo que creía justo’, Juan Carlos Burbano, mundialista con Ecuador y el caso Byron Castillo"
"La Tri estuvo cinco veces en el mismo grupo premundialista de la Roja, antes de que en 1998 comenzara a jugarse todos contra todos en Conmebol.","En Ecuador, Chile solo gano una vez por las eliminatorias"
Revisa los horarios de la sexta fechas de las Eliminatorias Sudamericanas al Mundial 2026.,Horarios de la fecha 6 de las Eliminatorias Sudamericanas 2026
"(Video) En sus dos primero encuentros ante Panamá, el combinado tico fue goleado y el extécnico de Ecuador ha recibido críticas de la prensa de ese país.","‘Venía agrandado de Ecuador, debe respetar a los rivales’, artillería pesada contra Gustavo Alfaro y su doloroso estreno al mando de Costa Rica"
"La última vez que se midieron Messi y Cristiano Ronaldo, con ambos en el París Saint-Germain y el Al Nassr, respectivamente, fue el 19 de enero de 2023.",Lionel Messi y Cristiano Ronaldo se enfrentarán en un amistoso en el 2024 por la Riyadh Season Cup
La Tricolor tiene en su historia de enfrentamientos con la Roja victorias oficiales memorables. Una de ellas le puso fin a un largo maleficio.,La selección de Ecuador hizo llorar a Chile con tres triunfos inolvidables
"La Albiceleste viene de perder ante Uruguay en Buenos Aires, mientras que la Canarinha no atraviesa un gran momento y viene de dos derrotas consecutivas.","Argentina, de la mano de Lionel Messi, buscará arrebatarle el invicto a Brasil en el Maracaná"
"El 'Tren Amazónico' cree que el mal momento de la Tricolor es parte del proceso, pero afirma que deberá mejorar a medida que pase el tiempo.",¿Qué aconseja Antonio Valencia a la selección de Ecuador para el duelo contra Chile por eliminatorias?
"Se disputaron un total de 112 encuentros en la Ciudad Deportiva Carlos Pérez Perasso, donde jóvenes de diez categorías demostraron todo su potencial.",Equipos revelación destacaron en nueva fecha del Interbarrial Diario EL UNIVERSO
Intriago llegó a los Cañoneros para el Clausura 2022 y desde entonces ha participado en cuatro campeonatos  en la Liga MX.,¡Hasta el 2027! Jefferson Intriago renovó su contrato con el Mazatlán FC de México
"El actual entrenador de Colo Colo dijo que sería un ""orgullo"" asumir el mando del combinado araucano.","¿Cómo voy a decir que no me interesa dirigir a la selección chilena?: Gustavo Quinteros, extécnico de Emelec, y su deseo de llegar a la Roja"
El juez central brasileño será el encargado de pitar el duelo entre la Tricolor y Chile por la sexta fecha de las eliminatorias sudamericanas.,¿Cómo le fue a Ecuador en los partidos que dirigió el árbitro de Brasil Anderson Daronco?
Panamá pasó por encima de los ticos y con un global de 6-1 clasificó a la Copa América 2024. El argentino empezó de forma horrible su labor como DT.,"Gustavo Alfaro y el fin de su ‘luna de miel’ en Costa Rica: ‘Esta Lechuga no huele bien’, ‘Hablar menos y trabajar más’, y más palos de la prensa"
"El entrenador argentino reconoció que Panamá, en estos momentos, es “más que lo que puede haber sido Costa Rica”.","“Hay que soportar todas las críticas”, dice Gustavo Alfaro tras la eliminación de Costa Rica en la Liga de Naciones de la Concacaf"
,"Moisés Caicedo, ‘el Hombre Invisible’ de Ecuador en Venezuela, ¿ante Chile se animará a aparecer?"
,Ecuador fue por un puntito a Venezuela 
,Atacar genera felicidad
,¿Félix Sánchez Bas no cierra el laboratorio en la Tricolor?
,En el Mundial sub-17 el DT de Ecuador menospreció a Panamá
,Barcelona SC y El Nacional clasificados a Copa Libertadores 2024. Conmebol les da la bienvenida
,Fecha 14 de la segunda etapa de Liga Pro se jugará con horarios unificados
,"Allen Obando quiere jugar como Victor Osimhen y Romeo Lukaku, mientras disfruta de un sueño: jugar el Mundial Sub-17"
,"Buenas noticias para Barcelona SC: Leonai Souza, listo para volver a jugar"
,¿Con que excompañero de Barcelona SC se reencontró Javier Burrai en la selección de Ecuador?
,"¿Cómo voy a decir que no me interesa dirigir a la selección chilena?: Gustavo Quinteros, extécnico de Emelec, y su deseo de llegar a la Roja"
,"‘Si fuera entrenador, no tomaría la selección de Chile; la prensa no deja trabajar’, la recomendación del presidente de Colo Colo a Gustavo Quinteros"
,Fecha 14 de la segunda etapa de Liga Pro se jugará con horarios unificados
,"‘No sé de dónde sacan que le doy información a la prensa’, el descargo de Pedro Ortiz, arquero de Emelec, y su no convocatoria a la Selección"
,"‘José Pileggi es un ególatra, no se deja ayudar’, dice director ejecutivo de Emelec al renunciar"
,En Independiente del Valle dan por hecho que disputarán el título de Liga Pro con los albos: Estamos contentos de que la final sea ante Liga de Quito
,Fecha 14 de la segunda etapa de Liga Pro se jugará con horarios unificados
,¿Cuál fue la promesa que cumplió Ricardo Adé por ganar la Copa Sudamericana con Liga de Quito?
,¿Con que excompañero de Barcelona SC se reencontró Javier Burrai en la selección de Ecuador?
,"Michael Bermúdez, el hombre de Liga de Quito que dio la victoria a Ecuador sobre Marruecos y lo puso a un paso de la clasificación a octavos del Mundial Sub-17"
