direccion,nombre
"Jirón Toledo ,Pueblo Libre, Lima, Lima .","Proyecto inmobilario en venta en Jirón Toledo , Pueblo Libre, Lima"
" Av. Arequipa 1200,Santa Beatriz, Lima Cercado, Lima .","Proyecto inmobilario en venta en  Av. Arequipa 1200, Lima Cercado, Lima"
"Ca. Enrique Palacios 1133,Santa Cruz, Miraflores, Lima .","Proyecto inmobilario en venta en Ca. Enrique Palacios 1133, Miraflores, Lima"
"Av. Costanera N° 980,San Miguel, Lima, Lima .","Proyecto inmobilario en venta en Av. Costanera N° 980, San Miguel, Lima"
"Av. Arenales 680,Santa Beatriz, Jesús María, Lima .","Proyecto inmobilario en venta en Av. Arenales 680, Jesús María, Lima"
"Av. Cesar Vallejo 1445, Lince, Lima,Lince, Lima, Lima .","Proyecto inmobilario en venta en Av. Cesar Vallejo 1445, Lince, Lima, Lince, Lima"
"Av. del Ejercito 1190,Santa Cruz, Miraflores, Lima .","Proyecto inmobilario en venta en Av. del Ejercito 1190, Miraflores, Lima"
"Av. Javier Prado Este 595,San Isidro, Lima, Lima .","Proyecto inmobilario en venta en Av. Javier Prado Este 595, San Isidro, Lima"
"Jiron Progreso 450,Barranco, Lima, Lima .","Proyecto inmobilario en venta en Jiron Progreso 450, Barranco, Lima"
"Av. Encalada cuadra 13  esquina con Aldebarán Surco, Lima,Santiago de Surco, Lima, Lima .","Proyecto inmobilario en venta en Av. Encalada cuadra 13  esquina con Aldebarán Surco, Lima, Santiago de Surco, Lima"
"Av. Cesar Vallejo 1445, Lince, Lima,Lince, Lima, Lima .","Proyecto inmobilario en venta en Av. Cesar Vallejo 1445, Lince, Lima, Lince, Lima"
"AVENIDA LOS PATRIOTAS 418-424  ,San Miguel, Lima, Lima .","Proyecto inmobilario en venta en AVENIDA LOS PATRIOTAS 418-424  , San Miguel, Lima"
"Santa Isabel 169,Miraflores, Lima, Lima .","Proyecto inmobilario en venta en Santa Isabel 169, Miraflores, Lima"
"Arenales ,Lince, Lima, Lima .","Proyecto inmobilario en venta en Arenales 2570, Lince, Lima"
