,titulo,num_reviews,rating
0,100 Days of Code: The Complete Python Pro Bootcamp,273731,4.686479
1,The Complete Python Bootcamp From Zero to Hero in Python,494914,4.582427
2,The Complete Python Developer,54087,4.6051364
3,Learn Python Programming - Beginner to Master,2744,4.6372514
4,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",65316,4.6186585
5,Python for Absolute Beginners,34413,4.483608
6,Python 3: Fundamentals,1536,4.7179027
7,Learn Python Programming Masterclass,101350,4.607602
8,Automate Everything with Python,1751,4.5427265
9,Python for Data Science and Machine Learning Bootcamp,139607,4.582552
10,The Complete Python Course | Learn Python by Doing in 2023,21029,4.5923104
11,Python PCEP: Become Certified Entry-Level Python Programmer,4844,4.666441
12,Complete Python Bootcamp For Everyone From Zero to Hero 2024,950,4.445891
13,Learn to Code with Python,5338,4.669776
14,The Modern Python 3 Bootcamp,29274,4.725462
15,Python 3: Deep Dive (Part 1 - Functional),10892,4.8326135
16,Python for beginners,24485,4.552555
17,Python Complete Masterclass for Beginners,5048,4.507902
18,Total Python: You Can Master Python Programming in 16 Days,2812,4.5710516
19,Automate the Boring Stuff with Python Programming,111555,4.652831
